Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748923589,100,,Aggregated,40.400000,28.500000,10,24,34,44,77,120,170,210,370,540,630,17058,11904,10,29.125985339375763,1.4262609993238584,628.9181410002129,1595.134365107281
1748923590,100,,Aggregated,40.100000,28.900000,10,24,34,44,77,120,170,210,370,540,630,17097,11932,10,29.125864625494078,1.4262609993238584,628.9181410002129,1595.3930514125286
1748923591,100,,Aggregated,39.600000,29.000000,10,24,34,44,77,120,170,210,370,540,630,17134,11962,10,29.09981379065447,1.4262609993238584,628.9181410002129,1595.6006186529708
1748923592,100,,Aggregated,40.500000,29.000000,10,24,34,44,77,120,170,210,370,540,630,17169,11985,10,29.127871751941065,1.4262609993238584,628.9181410002129,1595.9046537363854
1748923593,100,,Aggregated,39.500000,27.900000,10,24,34,44,77,120,170,210,370,540,630,17206,12013,10,29.123011820880865,1.4262609993238584,628.9181410002129,1595.183191909799
1748923594,100,,Aggregated,40.400000,28.600000,10,24,34,44,77,120,170,210,370,540,630,17246,12047,10,29.085553154533,1.4262609993238584,628.9181410002129,1594.284123854807
1748923595,100,,Aggregated,39.500000,28.100000,10,24,34,44,77,120,170,210,370,540,630,17289,12077,10,29.062205930249124,1.4262609993238584,628.9181410002129,1592.4690843889177
1748923596,100,,Aggregated,38.500000,27.800000,10,24,34,44,77,120,170,210,370,540,630,17329,12109,10,29.0642867565398,1.4262609993238584,628.9181410002129,1592.3223498182238
1748923597,100,,Aggregated,39.900000,28.500000,10,24,34,44,77,120,170,210,370,540,630,17364,12132,10,29.062044237046695,1.4262609993238584,628.9181410002129,1591.793135222299
1748923598,100,,Aggregated,40.100000,29.000000,10,24,34,44,77,120,170,210,370,540,630,17404,12160,10,29.03804788951259,1.4262609993238584,628.9181410002129,1590.324867846472
1748923599,100,,Aggregated,38.600000,29.000000,10,24,34,44,77,120,170,210,370,540,630,17438,12188,10,29.014191343220403,1.4262609993238584,628.9181410002129,1589.6485835531598
1748923600,100,,Aggregated,38.100000,28.500000,10,24,34,44,77,120,170,210,370,540,630,17484,12222,10,29.031588074987265,1.4262609993238584,628.9181410002129,1589.8344772363303
1748923601,100,,Aggregated,38.400000,28.300000,10,24,34,44,78,120,170,210,370,540,630,17529,12252,10,29.15575816909537,1.4262609993238584,628.9181410002129,1591.2582577443095
1748923602,100,,Aggregated,37.700000,28.400000,10,24,34,44,77,120,170,210,370,540,630,17552,12274,10,29.126012374320585,1.4262609993238584,628.9181410002129,1590.474532816773
1748923603,100,,Aggregated,39.400000,29.100000,10,24,34,44,77,120,170,210,370,540,630,17588,12304,10,29.092529498810244,1.4262609993238584,628.9181410002129,1588.2285649306345
